Statistical profiling result from isolate-000001ADD98FF370-18092-v8.log, (67794 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      8  100.0%          LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
      8  100.0%            LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
      2    3.8%        Function: ^<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      2  100.0%          LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
      2  100.0%            LazyCompile: *walkAST C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-walk\index.js:4:17
     51    5.0%      C:\Program Files\nodejs\node.exe
     32   62.7%        LazyCompile: *Parser C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\acorn\dist\acorn.js:470:31
     26   81.3%          LazyCompile: *isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:75:25
     18   69.2%            LazyCompile: *attributeValue C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1312:27
      8   30.8%            LazyCompile: *callLexerFunction C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:1635:30
      4   12.5%          LazyCompile: *isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\is-expression\index.js:14:22
      4  100.0%            Function: ^isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:75:25
      2    6.3%          Function: ^isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\is-expression\index.js:14:22
      2  100.0%            Function: ^isExpression C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-lexer\index.js:75:25
      2    3.9%        LazyCompile: *buffer C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:203:19
      2  100.0%          LazyCompile: *visitTag C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:613:21
      2  100.0%            LazyCompile: *visitBlock C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-code-gen\index.js:420:23
      2    3.9%        Function: ^getOptions C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:111:20
      1   50.0%          Function: ^loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
      1  100.0%            Function: ^<anonymous> C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:13:28
      1   50.0%          Function: ^load C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:9:14
      1  100.0%            Function: ^loadString C:\personal\coder\backend\desafios\desafio-13-coderhouse\node_modules\pug-load\index.js:49:34
